rank	category	path	format	bytes	width_px	height_px	animated_frame_count	duration_ms	sha256	review_status
1	ui-icon	apps/web/src/components/icon/square-half-filled.svg	SVG	242	32	32	n/a	n/a	834223ef986bad77bc6c66a03bb46ef6e382b120ee8fbdf7b7b44a205fde378c	human-reviewed:keep
2	ui-icon	apps/web/src/components/icon/square-link.svg	SVG	480	12	18	n/a	n/a	a4cd90c6cf80a7af7253d5b742a7c14146f27ca977b845def89377220d4420d2	human-reviewed:review
3	ui-icon	apps/web/src/components/icon/square-pen-create.svg	SVG	819	18	18	n/a	n/a	ffb7f18546f4b671eaa402faa33e33906a1c81ba262d653379ce8a8f634af5a5	human-reviewed:keep
4	ui-icon	apps/web/src/components/icon/square-reply.svg	SVG	277	17.5	16	n/a	n/a	5b6738af02d68a09d54941d41aab2c572ec1aea991f03cdbab171d3babf7bd7c	human-reviewed:review
5	ui-icon	apps/web/src/components/icon/square-sidebar.svg	SVG	345	18	18	n/a	n/a	76629d9c4380f1302d55774c71e565c1948d40b9fa9d1d968ddda7909b53ad66	human-reviewed:review
6	ui-icon	apps/web/src/components/icon/square-task-cancelled-circle.svg	SVG	570	12	12	n/a	n/a	a747a58475fc8414e606942e4f5732099328d328db5145f7cdc200a44f8ea28b	human-reviewed:keep
7	ui-icon	apps/web/src/components/icon/square-task-created-circle.svg	SVG	360	12	12	n/a	n/a	6d672ced72d45957e67e114b05643d29f83ffd53de6852eb23f56957405a3bd4	human-reviewed:keep
8	ui-icon	apps/web/src/components/icon/square-task-done-circle.svg	SVG	493	12	12	n/a	n/a	d2e967a81184092397652941b8efcbfca5317c74fa44a5473d55b8c0e1ee3bc2	human-reviewed:keep
9	ui-icon	apps/web/src/components/icon/square-task-in-progress-circle.svg	SVG	418	12	12	n/a	n/a	6de1e885d5019eae6cd425d177c37d994d546f678c83550ccdc6fd6df90e4ebf	human-reviewed:keep
10	ui-icon	apps/web/src/components/icon/square-task-in-review-circle.svg	SVG	441	12	12	n/a	n/a	7b3e9bfce1fc71a09d0b1a80758ab9c5e385e7cf81ab968d4ba99a0fa63b2707	human-reviewed:keep
11	ui-icon	apps/web/src/components/icon/square-trash.svg	SVG	371	12	18	n/a	n/a	52f09062627c40f7584393bf46105626de1f0e835fb2462489a87366ea7a708d	human-reviewed:keep
12	ui-icon	apps/web/src/components/icon/wide-automation.svg	SVG	1272	18	18	n/a	n/a	40a424693d6d501de208b7873ee686b030da2b24dcb007ba56c3b2fd9a79385f	human-reviewed:keep
13	ui-icon	apps/web/src/components/icon/wide-bin.svg	SVG	387	18	18	n/a	n/a	5e107fd2d2126d2b294d6aa0b7398f2791adf6ffc2cab88f93d6731561523d3d	human-reviewed:review
14	ui-icon	apps/web/src/components/icon/wide-book.svg	SVG	424	24	24	n/a	n/a	069495aaa55ceaaf5cd289f2ea5cca42ab5d065266c248e3d9b9914dd9fed524	human-reviewed:keep
15	ui-icon	apps/web/src/components/icon/wide-bot-2.svg	SVG	660	24	24	n/a	n/a	1b2a918571cb84d24addaa2922c93ef0514b568a4dd9cdf97440823fd465acfd	human-reviewed:review
16	ui-icon	apps/web/src/components/icon/wide-bot.svg	SVG	1036	24	24	n/a	n/a	f6e4c17c58ab70154b9626f83b1b1bef91ab4e4f30bc7ac5907f141bc06c024a	human-reviewed:keep
17	ui-icon	apps/web/src/components/icon/wide-calendar.svg	SVG	599	24	24	n/a	n/a	0beaf3b5bbe2535a6383d23a1da94e4f82e1a4effccbaed3a4c28bf3fa88efa5	human-reviewed:keep
18	ui-icon	apps/web/src/components/icon/wide-call-disconnect.svg	SVG	699	22	22	n/a	n/a	3b1812fdd2da9c2983e54a491e7c364c8b9cd2b9027d2a6b8e0938fc2c8dec0f	human-reviewed:keep
19	ui-icon	apps/web/src/components/icon/wide-call.svg	SVG	626	18	18	n/a	n/a	50a01901350cccd7706731cecc897cca05ef6b1b72f8bcf2d078f7c4daf9bb4a	human-reviewed:keep
20	ui-icon	apps/web/src/components/icon/wide-channel.svg	SVG	319	24	24	n/a	n/a	0e4760d711c84e00c21372446e47de2f1ed209856472113aacedc37d4f3b6134	human-reviewed:keep
21	ui-icon	apps/web/src/components/icon/wide-chat.svg	SVG	554	24	24	n/a	n/a	773bfe335ffb351ccb1d3c39887ea7e66c774829d36bdbc20b995769389cee3d	human-reviewed:keep
22	third-party-integration	apps/web/src/components/icon/wide-claude.svg	SVG	1953	24	24	n/a	n/a	533379eeb38dad9aecda96511026706c5ccf959eb8003b35fedc576406f14d82	human-reviewed:review
23	third-party-integration	apps/web/src/components/icon/wide-codex-ide.svg	SVG	1602	24	24	n/a	n/a	563751bdf586401c32ec81c68267cb28cfab14f3f5189ac700bc27e57da54310	human-reviewed:review
24	ui-icon	apps/web/src/components/icon/wide-command.svg	SVG	657	18	18	n/a	n/a	45ffbd422e68634e1087fb8590e0342d83e96a3137e9178d255cb0532604bf60	human-reviewed:review
25	ui-icon	apps/web/src/components/icon/wide-comment.svg	SVG	288	18	18	n/a	n/a	e2c4d51285bf69f8330891578e664f834829f20f673b40d9cadbaa5ded3760e1	human-reviewed:review
26	ui-icon	apps/web/src/components/icon/wide-company.svg	SVG	816	18	18	n/a	n/a	e962c261f8700201a3b37dffa61318b1e1721a8cb455ab2a428b8e6f5fbb3f88	human-reviewed:review
27	ui-icon	apps/web/src/components/icon/wide-contact.svg	SVG	505	18	18	n/a	n/a	96995767e9f1da524f3d976b6cfdd2f233d8d66b1aa5c5ee502ab5ca39ab5b58	human-reviewed:keep
28	ui-icon	apps/web/src/components/icon/wide-copy.svg	SVG	474	18	18	n/a	n/a	591bd51ad175625fd541c3a3287282b841ae4318f91412e6ffc89a26fa3a2cab	human-reviewed:keep
29	ui-icon	apps/web/src/components/icon/wide-csv.svg	SVG	2669	18	18	n/a	n/a	4952a8a99c1613d6724000d0954a795e3430b35bca7b7197ce5a2a5669756d1c	human-reviewed:keep
30	third-party-integration	apps/web/src/components/icon/wide-cursor-ide.svg	SVG	486	24	24	n/a	n/a	2f7cdc418fb3be1e1d674f241a8b55b5cfdc3c9ad2bb31b60a91163045877dda	human-reviewed:review
31	ui-icon	apps/web/src/components/icon/wide-diagram.svg	SVG	527	24	24	n/a	n/a	99c34d82a983fc357294226c1b94f9d17066509282a9eb59186349d798fdfbe1	human-reviewed:keep
32	ui-icon	apps/web/src/components/icon/wide-docx.svg	SVG	2829	18	18	n/a	n/a	88591490eff45405430712836da2c5be1e84d7435bfe25cec062bf1d2610923c	human-reviewed:keep
33	ui-icon	apps/web/src/components/icon/wide-edit.svg	SVG	368	18	18	n/a	n/a	a1bd227cb165faec9eaf5c4af887274ff5c9a288ca5517e1a168d2ef205dba4a	human-reviewed:review
34	ui-icon	apps/web/src/components/icon/wide-email.svg	SVG	317	24	24	n/a	n/a	64893daa5ef21ea75747697bea750b4cfed1cdc221072a04c8732893c7da58d4	human-reviewed:keep
35	ui-icon	apps/web/src/components/icon/wide-eye.svg	SVG	317	18	18	n/a	n/a	adf098a7b0d549df91a0ee7ced99f37edc3398277efc1b057cc50d2739bdb021	human-reviewed:review
36	ui-icon	apps/web/src/components/icon/wide-file-code.svg	SVG	347	24	24	n/a	n/a	3a43d9482e720181f247f64d062897d728b789dfd8024d13c8cbacc46862e36d	human-reviewed:keep
37	ui-icon	apps/web/src/components/icon/wide-file-compressed.svg	SVG	435	18	18	n/a	n/a	bc1b9c06fe3da2b0c91b2ecaae9ea787c4ec8d899f1fae719585c2a5a43f57c9	human-reviewed:review
38	ui-icon	apps/web/src/components/icon/wide-file-image.svg	SVG	433	24	24	n/a	n/a	94abb846e0e26d90bb381db44c3001629276309c96b22d6b95f31b4369c1ba5f	human-reviewed:keep
39	ui-icon	apps/web/src/components/icon/wide-file-md.svg	SVG	329	24	24	n/a	n/a	1fdb4951cd40a3435a0ac9744341e9b865492d37211be972e0711e2ebfbe641c	human-reviewed:keep
40	ui-icon	apps/web/src/components/icon/wide-files.svg	SVG	605	18	18	n/a	n/a	1db9950db466ffa1a34cb942518623cae1f3d6c710c3a1a11280be5eb059212d	human-reviewed:keep
41	ui-icon	apps/web/src/components/icon/wide-folder.svg	SVG	293	24	24	n/a	n/a	b8e3cba281bc4230dbbe6ae37fea28e73ec58d26416a1605a2ff6b97365227b1	human-reviewed:keep
42	ui-icon	apps/web/src/components/icon/wide-gear.svg	SVG	679	18.06	18.06	n/a	n/a	6c0a0643968b84a981b1be6f32bfb759fa43c930206960ecb4d383dd4b896535	human-reviewed:review
43	ui-icon	apps/web/src/components/icon/wide-globe.svg	SVG	675	18	12	n/a	n/a	4ea83622f2f79bae0ffbfdc1d35859bef6d7a2ec0a2b9dbe595ca702a7fd48e6	human-reviewed:keep
44	ui-icon	apps/web/src/components/icon/wide-home.svg	SVG	678	18	18	n/a	n/a	2aa7167ecba856f5ecffc85a296e99484e22746573a37cddf595e35a46dd0fde	human-reviewed:review
45	ui-icon	apps/web/src/components/icon/wide-inbox.svg	SVG	435	18	12	n/a	n/a	7318ca8b6cf437e99af59e00de07446ac2aaf27d52c3ba9f5be5583fb1024615	human-reviewed:review
46	ui-icon	apps/web/src/components/icon/wide-link.svg	SVG	499	18	18	n/a	n/a	f028a5aecba74653de6f2260e373c83f48accf6eddc40a1f99e01994a16e08b7	human-reviewed:review
47	ui-icon	apps/web/src/components/icon/wide-microphone-slash.svg	SVG	662	18	18	n/a	n/a	aaedea6b9a6eb0e7102b9432ed976bf7105db2a78a6c3d10a40f365e5a68d63c	human-reviewed:review
48	ui-icon	apps/web/src/components/icon/wide-microphone.svg	SVG	437	18	18	n/a	n/a	cb951594b28ca57ba3ea14170fc9b137fc7863e53dfe46a3baab893edde6d4eb	human-reviewed:review
49	ui-icon	apps/web/src/components/icon/wide-newSplit.svg	SVG	311	18	18	n/a	n/a	28c3ef07675e1478e1ccdca51fc3fefaaa31db7a202a964e87b03072c9fe5410	human-reviewed:keep
50	ui-icon	apps/web/src/components/icon/wide-noise.svg	SVG	395	24	24	n/a	n/a	9c9550b81dfeb550568e7c7840fa89fd311ba4e886a41ace8ee4fad25408c753	human-reviewed:review
51	ui-icon	apps/web/src/components/icon/wide-paintbrush.svg	SVG	893	18	18	n/a	n/a	7f1c86b289e19c73c25f1571b6e010f5d944e1916b7cdc74903912e45b784676	human-reviewed:review
52	ui-icon	apps/web/src/components/icon/wide-paper-plane-cutout.svg	SVG	423	24	24	n/a	n/a	01defbe7bf2996672a2bbfb26726a44018494ef787499149e4832c23dafbea47	human-reviewed:review
53	ui-icon	apps/web/src/components/icon/wide-plus.svg	SVG	364	18	18	n/a	n/a	c2e6bd75c49880fa0df467c6f4b9cbf23f09a871cf2bddaad9a138fd381c9f16	human-reviewed:review
54	ui-icon	apps/web/src/components/icon/wide-preview.svg	SVG	2056	24	24	n/a	n/a	87e863068c776c495560bb98328c8706c9cef6c8d2069a1e648ecda49bdd5867	human-reviewed:review
55	ui-icon	apps/web/src/components/icon/wide-priority-high.svg	SVG	313	18	12	n/a	n/a	2d48d6b0074c9ec6090d4a381db67afb02912b99257b58a87e74f8e4290da94a	human-reviewed:keep
56	ui-icon	apps/web/src/components/icon/wide-priority-low.svg	SVG	341	18	12	n/a	n/a	1196b85145044440c0d44e789477b360b31a3e62bd605616204f21284104e26c	human-reviewed:keep
57	ui-icon	apps/web/src/components/icon/wide-priority-medium.svg	SVG	327	18	12	n/a	n/a	13941ae2c494108e090b545cfd411a578985b97a525baf060539b0fc43d80cc3	human-reviewed:keep
58	ui-icon	apps/web/src/components/icon/wide-priority-urgent.svg	SVG	357	18	18	n/a	n/a	5e3326b126ec7f7818be046fd58b0649e3bfbc7efbcb3de3a2232446797fad78	human-reviewed:keep
59	ui-icon	apps/web/src/components/icon/wide-profile.svg	SVG	736	18	18	n/a	n/a	cbb782a25c3956272a5d4c273809067356778a973f90a039365ad2a49b6c93f9	human-reviewed:review
