rank	category	path	format	bytes	width_px	height_px	animated_frame_count	duration_ms	sha256	review_status
60	ui-icon	apps/web/src/components/icon/wide-reply.svg	SVG	305	18	18	n/a	n/a	7b17c786579663f2fe5718d7071fe05123c5659801e00e95b2ab159e3b01decf	human-reviewed:review
61	ui-icon	apps/web/src/components/icon/wide-screencast.svg	SVG	411	18	18	n/a	n/a	e86e3cb2a83f035ba78b74d5f5a2a849311c7b71fbbc2bb52b3bfd0a23b66a63	human-reviewed:review
62	ui-icon	apps/web/src/components/icon/wide-search.svg	SVG	305	18	18	n/a	n/a	c41a5c9d5acd6bba9bc83a4d9ef297e007222db5a003b5359ce14644cc85d314	human-reviewed:review
63	ui-icon	apps/web/src/components/icon/wide-share.svg	SVG	369	18	18	n/a	n/a	66e51dd489cb9ceb00eb7742482516c839c2b069e3619c82707e1d8013de5ccb	human-reviewed:keep
64	ui-icon	apps/web/src/components/icon/wide-sidebar.svg	SVG	322	18	12	n/a	n/a	433b69621b844626f9356a0b79422f11727d9537be883d45d7853943775908d0	human-reviewed:review
65	ui-icon	apps/web/src/components/icon/wide-signal.svg	SVG	463	24	24	n/a	n/a	99b54525f40ae2fced556741dbf3b91aed63eefefd3046ba0dc0d786c088381e	human-reviewed:review
66	ui-icon	apps/web/src/components/icon/wide-sliders-horizontal.svg	SVG	296	18	12	n/a	n/a	e46a6f62143fe6602b3455d82da8023caf303e6ecea69a19b206ac52a39513d8	human-reviewed:review
67	ui-icon	apps/web/src/components/icon/wide-sliders.svg	SVG	381	18	12	n/a	n/a	30eb1ba104e92119624f03fb7101b712f0683b1789b40cb6178662dd9c33a96a	human-reviewed:review
68	ui-icon	apps/web/src/components/icon/wide-snippet.svg	SVG	711	18	18	n/a	n/a	99d728872533e6fc5f8f8852b5770f1c662915ba77ea67b59cfafc8d5148a765	human-reviewed:keep
69	ui-icon	apps/web/src/components/icon/wide-sort.svg	SVG	217	18	18	n/a	n/a	0c029e4c04c7687adcef395d8daebd0dcd90966bfd2fae51b6ec9ca6de796294	human-reviewed:review
70	ui-icon	apps/web/src/components/icon/wide-star.svg	SVG	976	24	24	n/a	n/a	74211e2a8e3fe71c1db3dda6188ea71f1d5608ddd241543232a3a11ae8608675	human-reviewed:keep
71	ui-icon	apps/web/src/components/icon/wide-task-done.svg	SVG	261	18	18	n/a	n/a	982507f383b1422804e84ba7fcedec1eace65630ded91a69f312da60fdd6d8c1	human-reviewed:review
72	ui-icon	apps/web/src/components/icon/wide-task-not-done.svg	SVG	233	18	18	n/a	n/a	eaf710133c5481e295715649b2e40df62ecded129a89fe35de8af4fce16ab73e	human-reviewed:review
73	ui-icon	apps/web/src/components/icon/wide-task.svg	SVG	580	18	18	n/a	n/a	40dfb5673c65b1b3ac405a1135335448c08995577694b452cd7c1afcd033e7bb	human-reviewed:keep
74	ui-icon	apps/web/src/components/icon/wide-unknown.svg	SVG	1667	24	24	n/a	n/a	8149217b2d2da5637f61adb6305b97f2d21d8e8863708d4fa69309070a9c214b	human-reviewed:keep
75	ui-icon	apps/web/src/components/icon/wide-user-circle.svg	SVG	1347	12	12	n/a	n/a	8ad1b77f625daa619b40aba88c8fcb08aef4866503aea52242d59c3c8e9cd0e1	human-reviewed:keep
