rank	category	path	format	bytes	width_px	height_px	animated_frame_count	duration_ms	sha256	review_status
1	ui-icon	apps/web/src/components/icon/wide-user.svg	SVG	463	24	24	n/a	n/a	b4d2537659971d257ea0851ee17e131b1cd469633a23d6d840c9860d35567bc5	human-reviewed:review
2	ui-icon	apps/web/src/components/icon/wide-users.svg	SVG	405	18	12	n/a	n/a	47fe931ab8e13c37f8904b6ae1d03239fdd1b7a0b0897a68f5c49f13da28a88d	human-reviewed:keep
3	ui-icon	apps/web/src/components/icon/wide-video-slash.svg	SVG	513	18	18	n/a	n/a	d3e58a677d82a5523420a7d179daf78d751f3a1e88c1892c255e1538f8cce8a5	human-reviewed:review
4	ui-icon	apps/web/src/components/icon/wide-video.svg	SVG	301	18	18	n/a	n/a	0eb3a2406fab9aa5a2a04313d7af687058a071dd1b74c44eeb481eecb03315b2	human-reviewed:keep
5	third-party-integration	apps/web/src/components/icon/wide-zed-ide.svg	SVG	623	24	24	n/a	n/a	9cc3c9eba2aa21ea00b8f728bde447dfe5e93bcccf559dc5a648bee86b3e7314	human-reviewed:review
6	legacy-core-favicon	apps/web/src/lib/core/assets/favicon.ico	ICO	15086	48	48	n/a	n/a	0e726a381fd5c7ee7e57960f9ea5ff6a354071055dd071bf130052ad5a899e3d	human-reviewed:replace_required
7	decorative-experiment	apps/web/src/lib/design/arcanum-01.svg	SVG	36102	200	200	n/a	n/a	97b6f91ceafa8a98277b0bdd06d4e47e533cda87278a1f7be290c8bf49719f66	human-reviewed:review
8	decorative-experiment	apps/web/src/lib/design/arcanum-02.svg	SVG	26661	200	200	n/a	n/a	e431f2a2ca587280206faf3f1cd0da9a71b1d8c9f9f85618ed2795db5cf7bd86	human-reviewed:review
9	decorative-experiment	apps/web/src/lib/design/arcanum-03.svg	SVG	51367	400	200	n/a	n/a	f82aaa5c9be1578a9d1aefeb263172e096ab05446f4232ff625825213f7931ac	human-reviewed:review
10	decorative-experiment	apps/web/src/lib/design/arcanum-04.svg	SVG	18177	200	200	n/a	n/a	6998debf6e0fb6655b0c5892f9ac729d562d2218362d54f9857091b60467fdcb	human-reviewed:review
11	decorative-experiment	apps/web/src/lib/design/arcanum-05.svg	SVG	22147	200	200	n/a	n/a	3647eb4cd5f593d9dc39fdbd26c5a8e71538dc75359acf6d8a1b276a148dbc70	human-reviewed:review
12	decorative-experiment	apps/web/src/lib/design/arcanum-06.svg	SVG	26030	200	200	n/a	n/a	f04aafb11006aba764cab2e8b68363f03c61ec2d0aa18b55bd702b1c82055e80	human-reviewed:review
13	decorative-experiment	apps/web/src/lib/design/arcanum-07.svg	SVG	21360	200	200	n/a	n/a	79126b1f78cd2c8e4a3974199acc1fdcdc81e6842489c2bdecdf77b7b3cf9105	human-reviewed:review
14	decorative-experiment	apps/web/src/lib/design/arcanum-08.svg	SVG	1293	200	200	n/a	n/a	ca4e7710ce43e30888771fadf8e776785904b09a8386591519833319037322c4	human-reviewed:review
15	decorative-experiment	apps/web/src/lib/design/arcanum-09.svg	SVG	27753	200	200	n/a	n/a	7259636ae6b81e1e7d5efb2f0d7370267590b43356973c35e0be8ccf3c2f78a3	human-reviewed:review
16	decorative-experiment	apps/web/src/lib/design/arcanum-10.svg	SVG	53782	400	200	n/a	n/a	cc59449f5397945ef71596e10b286061ad8dc62d32478d068a4e6adf14ca6857	human-reviewed:review
17	native-source	apps/web/tauri/icon.png	PNG	853021	1024	1024	1	n/a	7001c0441dd3a9064e633a46a615636b517a3769245d29364f6f269fc0d98975	human-reviewed:keep
18	native-android	apps/web/tauri/src-tauri/gen/android/app/src/main/res/mipmap-hdpi/ic_launcher.png	PNG	2403	49	49	1	n/a	2be590e162403857d12bb3aed97d3a5a0dbdc66fb289e21f904148e89343bc3e	human-reviewed:keep
19	native-android	apps/web/tauri/src-tauri/gen/android/app/src/main/res/mipmap-hdpi/ic_launcher_foreground.png	PNG	19945	162	162	1	n/a	8f5249ad8f9db429e5f770c8c41a51c4ae655bc778ce58b68f5328b031b7834a	human-reviewed:keep
20	native-android	apps/web/tauri/src-tauri/gen/android/app/src/main/res/mipmap-hdpi/ic_launcher_round.png	PNG	2821	49	49	1	n/a	1aabd655f8c55329e8209a1360ee0df807cf145fd175954ffb90bf884b4dad31	human-reviewed:keep
21	native-android	apps/web/tauri/src-tauri/gen/android/app/src/main/res/mipmap-mdpi/ic_launcher.png	PNG	2350	48	48	1	n/a	9638997e4d8c322476e40bf6b90139e7a45e060b0d0526fd797605912110c2ef	human-reviewed:keep
22	native-android	apps/web/tauri/src-tauri/gen/android/app/src/main/res/mipmap-mdpi/ic_launcher_foreground.png	PNG	10266	108	108	1	n/a	10b88ef094ede13f906be889a18b138b03c4d54f7a3acf563bb83f7487104d2b	human-reviewed:keep
23	native-android	apps/web/tauri/src-tauri/gen/android/app/src/main/res/mipmap-mdpi/ic_launcher_round.png	PNG	2702	48	48	1	n/a	031a3eb664a6ca0438982210ed66d94cd60e5c1b864fab14b66788cb442a9248	human-reviewed:keep
24	native-android	apps/web/tauri/src-tauri/gen/android/app/src/main/res/mipmap-xhdpi/ic_launcher.png	PNG	6926	96	96	1	n/a	570659bc853178b669cdbb98e82e787a954a7146a023d53a5298fe29839af506	human-reviewed:keep
25	native-android	apps/web/tauri/src-tauri/gen/android/app/src/main/res/mipmap-xhdpi/ic_launcher_foreground.png	PNG	33183	216	216	1	n/a	e5c93b5cdcb8e765dd48ed9e608bdc3071056a0f8b22113ed1661843d2963530	human-reviewed:keep
26	native-android	apps/web/tauri/src-tauri/gen/android/app/src/main/res/mipmap-xhdpi/ic_launcher_round.png	PNG	8098	96	96	1	n/a	ed46ac3edb6fead014075db5cd429983f15a61b848a9607f865beaeb42bf889b	human-reviewed:keep
27	native-android	apps/web/tauri/src-tauri/gen/android/app/src/main/res/mipmap-xxhdpi/ic_launcher.png	PNG	13283	144	144	1	n/a	371fa75c6d3a077186a6fc82a22b37a6a00e8b1f5dc8f91f10d5a16801b389c8	human-reviewed:keep
